latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.486816,19.06404,113.0,3600,Europe/Berlin,GMT+1

time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),precipitation_sum (mm),sunshine_duration (s),daylight_duration (s),weather_code (wmo code),cloud_cover_mean (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C),pressure_msl_mean (hPa)
2020-01-01,5.8,-1.2,19.6,0.00,26188.51,30671.69,0,1,84,0.9,1032.8
2020-01-02,5.4,-5.5,10.5,0.00,26256.06,30730.19,3,14,87,-1.2,1032.8
2020-01-03,-0.4,-4.0,8.0,0.00,0.00,30793.63,3,100,97,-2.3,1029.4
2020-01-04,6.4,-2.8,26.3,0.70,17493.84,30861.88,51,79,86,1.4,1022.8
2020-01-05,3.8,-2.2,29.5,0.70,26491.66,30934.81,71,24,69,1.1,1027.6
2020-01-06,2.2,-4.9,10.6,0.00,26580.64,31012.29,3,40,70,-1.8,1033.4
2020-01-07,2.7,-5.9,9.7,0.00,26674.57,31094.20,2,10,78,-2.6,1029.9
2020-01-08,1.9,-5.6,10.1,0.00,26773.27,31180.40,3,14,80,-3.1,1032.9
2020-01-09,2.3,-3.5,10.2,0.00,130.57,31270.76,3,83,88,-0.7,1028.6
2020-01-10,2.9,-3.3,9.6,0.00,26311.23,31365.14,3,66,88,-1.2,1024.0
2020-01-11,6.4,-2.2,20.7,0.00,27096.38,31463.42,2,22,84,1.5,1029.0
2020-01-12,4.8,-3.5,9.3,0.00,27212.54,31565.47,3,46,89,0.0,1031.6
2020-01-13,0.3,-3.0,9.7,0.00,0.00,31671.16,3,99,98,-1.6,1028.9
2020-01-14,-1.5,-3.2,10.7,0.00,0.00,31780.56,3,100,97,-2.5,1027.4
2020-01-15,0.6,-2.2,10.8,0.00,0.00,31894.86,3,99,96,-1.6,1030.5
2020-01-16,1.9,-2.3,7.0,0.00,7107.93,32014.11,3,97,95,-0.9,1032.7
2020-01-17,-0.6,-2.7,10.5,0.00,0.00,32138.04,3,94,97,-1.8,1030.8
2020-01-18,0.1,-2.8,8.7,0.00,0.00,32266.42,3,99,94,-1.7,1027.4
2020-01-19,0.4,-2.3,7.9,1.20,0.00,32399.00,71,97,94,-1.1,1030.7
2020-01-20,4.4,-3.0,8.2,0.00,13906.40,32535.52,3,67,92,-0.0,1043.7
2020-01-21,3.1,-2.8,8.0,0.00,14422.40,32675.77,3,79,93,-0.9,1044.1
2020-01-22,1.0,-2.5,20.7,0.00,2722.70,32819.50,3,79,88,-1.0,1033.2
2020-01-23,4.8,-3.8,21.0,0.00,28567.62,32966.48,2,19,82,-0.4,1034.5
2020-01-24,2.7,-5.9,9.6,0.00,27630.78,33116.49,3,26,88,-2.5,1029.5
2020-01-25,1.5,-4.8,7.1,0.00,7611.41,33269.31,3,95,91,-2.0,1025.4
2020-01-26,1.5,-2.8,8.4,0.00,7804.47,33424.71,3,95,91,-1.1,1023.9
2020-01-27,3.5,-1.9,9.5,0.20,19872.79,33582.48,51,92,91,-0.1,1019.3
2020-01-28,2.5,-1.3,14.5,9.50,0.00,33742.43,71,100,97,0.6,1008.3
2020-01-29,4.1,-0.6,26.8,1.00,13035.61,33904.33,71,72,85,1.6,1009.0
2020-01-30,7.3,0.1,23.1,0.90,21962.89,34068.00,73,68,75,2.9,1016.5
2020-01-31,12.6,-0.7,25.3,2.70,9214.92,34233.23,61,86,82,6.3,1011.0
2020-02-01,12.7,3.3,15.3,0.00,29271.85,34399.84,3,33,85,7.8,1012.5
2020-02-02,13.2,6.7,24.0,1.10,29377.81,34567.64,53,68,73,10.2,1012.0
2020-02-03,12.4,6.4,29.2,3.30,13037.47,34736.71,53,87,75,9.3,1011.5
2020-02-04,8.6,3.5,45.3,9.50,0.00,34908.72,63,96,76,6.3,1001.9
2020-02-05,8.2,-0.9,34.4,0.10,29143.31,35083.81,51,58,56,3.5,1012.7
2020-02-06,4.3,-1.7,27.6,0.00,30589.92,35261.74,3,51,65,1.4,1026.5
2020-02-07,8.5,1.4,23.7,0.10,26363.16,35442.29,51,70,73,4.1,1026.1
2020-02-08,3.8,-3.3,11.6,0.00,30568.43,35625.23,3,38,57,0.0,1032.1
2020-02-09,7.8,-4.4,13.7,0.00,31839.18,35810.35,3,27,67,0.5,1028.0
2020-02-10,13.4,2.0,34.1,4.20,15593.85,35997.44,61,80,70,8.1,1009.1
2020-02-11,9.5,2.2,33.4,1.80,29456.88,36186.29,53,56,66,6.1,1006.0
2020-02-12,7.3,1.9,26.7,1.20,28792.59,36376.69,73,39,63,4.3,1016.4
2020-02-13,8.2,0.6,16.4,0.00,31093.79,36568.46,3,59,72,4.2,1020.4
2020-02-14,9.7,3.9,23.2,1.40,18238.61,36761.40,53,62,78,6.2,1016.0
2020-02-15,9.4,1.9,16.8,0.00,31950.40,36955.32,3,45,80,5.2,1028.1
2020-02-16,10.2,-1.7,18.8,0.00,32319.68,37150.03,3,63,84,4.3,1028.7
2020-02-17,11.9,1.0,13.0,0.00,33567.24,37345.37,3,82,81,5.8,1021.4
