time,max_temp,min_temp,daylight_duration,sunshine_duration,precipitation_sum,wind_speed_10m_max,mean_temp,cloud_cover_mean,relative_humidity_2m_mean,pressure_msl_mean
01/01/2020,5.8,-1.2,30671.69,26188.51,0,19.6,0.9,1,84,1032.8
02/01/2020,5.4,-5.5,30730.19,26256.06,0,10.5,-1.2,14,87,1032.8
03/01/2020,-0.4,-4,30793.63,0,0,8,-2.3,100,97,1029.4
04/01/2020,6.4,-2.8,30861.88,17493.84,0.7,26.3,1.4,79,86,1022.8
05/01/2020,3.8,-2.2,30934.81,26491.66,0.7,29.5,1.1,24,69,1027.6
06/01/2020,2.2,-4.9,31012.29,26580.64,0,10.6,-1.8,40,70,1033.4
07/01/2020,2.7,-5.9,31094.2,26674.57,0,9.7,-2.6,10,78,1029.9
08/01/2020,1.9,-5.6,31180.4,26773.27,0,10.1,-3.1,14,80,1032.9
09/01/2020,2.3,-3.5,31270.76,130.57,0,10.2,-0.7,83,88,1028.6
10/01/2020,2.9,-3.3,31365.14,26311.23,0,9.6,-1.2,66,88,1024
11/01/2020,6.4,-2.2,31463.42,27096.38,0,20.7,1.5,22,84,1029
12/01/2020,4.8,-3.5,31565.47,27212.54,0,9.3,0,46,89,1031.6
13/01/2020,0.3,-3,31671.16,0,0,9.7,-1.6,99,98,1028.9
14/01/2020,-1.5,-3.2,31780.56,0,0,10.7,-2.5,100,97,1027.4
15/01/2020,0.6,-2.2,31894.86,0,0,10.8,-1.6,99,96,1030.5
16/01/2020,1.9,-2.3,32014.11,7107.93,0,7,-0.9,97,95,1032.7
17/01/2020,-0.6,-2.7,32138.04,0,0,10.5,-1.8,94,97,1030.8
18/01/2020,0.1,-2.8,32266.42,0,0,8.7,-1.7,99,94,1027.4
19/01/2020,0.4,-2.3,32399,0,1.2,7.9,-1.1,97,94,1030.7
20/01/2020,4.4,-3,32535.52,13906.4,0,8.2,0,67,92,1043.7
21/01/2020,3.1,-2.8,32675.77,14422.4,0,8,-0.9,79,93,1044.1
22/01/2020,1,-2.5,32819.5,2722.7,0,20.7,-1,79,88,1033.2
23/01/2020,4.8,-3.8,32966.48,28567.62,0,21,-0.4,19,82,1034.5
24/01/2020,2.7,-5.9,33116.49,27630.78,0,9.6,-2.5,26,88,1029.5
25/01/2020,1.5,-4.8,33269.31,7611.41,0,7.1,-2,95,91,1025.4
26/01/2020,1.5,-2.8,33424.71,7804.47,0,8.4,-1.1,95,91,1023.9
27/01/2020,3.5,-1.9,33582.48,19872.79,0.2,9.5,-0.1,92,91,1019.3
28/01/2020,2.5,-1.3,33742.43,0,9.5,14.5,0.6,100,97,1008.3
29/01/2020,4.1,-0.6,33904.33,13035.61,1,26.8,1.6,72,85,1009
30/01/2020,7.3,0.1,34068,21962.89,0.9,23.1,2.9,68,75,1016.5
31/01/2020,12.6,-0.7,34233.23,9214.92,2.7,25.3,6.3,86,82,1011
01/02/2020,12.7,3.3,34399.84,29271.85,0,15.3,7.8,33,85,1012.5
02/02/2020,13.2,6.7,34567.64,29377.81,1.1,24,10.2,68,73,1012
03/02/2020,12.4,6.4,34736.71,13037.47,3.3,29.2,9.3,87,75,1011.5
04/02/2020,8.6,3.5,34908.72,0,9.5,45.3,6.3,96,76,1001.9
05/02/2020,8.2,-0.9,35083.81,29143.31,0.1,34.4,3.5,58,56,1012.7
06/02/2020,4.3,-1.7,35261.74,30589.92,0,27.6,1.4,51,65,1026.5
07/02/2020,8.5,1.4,35442.29,26363.16,0.1,23.7,4.1,70,73,1026.1
08/02/2020,3.8,-3.3,35625.23,30568.43,0,11.6,0,38,57,1032.1
09/02/2020,7.8,-4.4,35810.35,31839.18,0,13.7,0.5,27,67,1028
10/02/2020,13.4,2,35997.44,15593.85,4.2,34.1,8.1,80,70,1009.1
11/02/2020,9.5,2.2,36186.29,29456.88,1.8,33.4,6.1,56,66,1006
12/02/2020,7.3,1.9,36376.69,28792.59,1.2,26.7,4.3,39,63,1016.4
13/02/2020,8.2,0.6,36568.46,31093.79,0,16.4,4.2,59,72,1020.4
14/02/2020,9.7,3.9,36761.4,18238.61,1.4,23.2,6.2,62,78,1016
15/02/2020,9.4,1.9,36955.32,31950.4,0,16.8,5.2,45,80,1028.1
16/02/2020,10.2,-1.7,37150.03,32319.68,0,18.8,4.3,63,84,1028.7
17/02/2020,11.9,1,37345.37,33567.24,0,13,5.8,82,81,1021.4
18/02/2020,11.6,2,37541.14,19478.63,0,20.2,6.9,57,72,1022.9
19/02/2020,9.6,-0.6,37737.19,20764.81,1.5,14.8,4.9,64,71,1021.7
20/02/2020,8.5,-0.4,37933.34,34191.88,0,23.2,4,28,72,1022.7
21/02/2020,8.2,-1.5,38129.42,16961.3,0.8,34.1,3.6,53,66,1023.1
22/02/2020,9.5,-1.5,38325.28,34606.32,0,18.6,3.9,46,67,1029.4
23/02/2020,12.9,3.2,38520.99,11449.08,1.3,25.2,8.4,90,64,1018.7
24/02/2020,14.6,4.8,38718.22,35020.12,0.3,37.8,8.7,53,53,1017.3
25/02/2020,15.3,2.8,38917.14,35228.98,0,19.1,8.6,35,65,1007.8
26/02/2020,8.1,2.6,39117.58,178.94,11,18.7,6.3,95,81,998.8
27/02/2020,8.1,2,39319.39,31343.32,0,25.3,4.1,80,62,1005.3
28/02/2020,7.8,0.9,39522.39,16717.93,1.9,33.5,3.8,60,70,1009
29/02/2020,9.1,-2.9,39726.45,22988.92,0,22,3.5,70,67,1015.3
01/03/2020,12.8,3.8,39931.39,24114.5,2,15.3,8,94,69,1007.6
02/03/2020,13.4,7.1,40137.07,32400,13.7,24,9.2,76,75,1000.7
03/03/2020,11.8,6.2,40343.33,0,7.1,12.7,8.9,99,86,1000.7
04/03/2020,7.3,1.9,40550.04,0,1.7,24.3,5.4,71,80,1008.9
05/03/2020,10.4,-0.8,40757.04,35129.79,0,12.7,4.5,16,67,1010.4
06/03/2020,6,2.3,40964.19,422.11,12.4,14.3,4.4,93,88,1002.8
07/03/2020,10.1,2.6,41171.35,32522.45,0,22.9,5.8,61,77,1011
08/03/2020,10.1,2.2,41378.38,10475.55,0,20.2,5.2,55,70,1019.3
09/03/2020,10.2,-0.6,41585.14,37031.14,0,10.7,4,17,71,1015.5
10/03/2020,13.1,-0.2,41791.49,36962.71,0,15.1,5.9,39,71,1014.9
11/03/2020,17.9,5,41997.29,11895.91,1.9,23.1,10.1,88,74,1014.8
12/03/2020,19,8.2,42202.4,37414.35,0,20.9,12.7,35,71,1015.3
13/03/2020,12.1,5.1,42406.68,11867.99,0.1,22.5,9.5,76,68,1015.1
14/03/2020,11,2.3,42610.23,38115.68,0,18.1,6.3,47,56,1021.2
15/03/2020,8.8,-2.1,42814.55,38823.2,0,18.4,2.8,7,48,1028.7
16/03/2020,11.1,-2.8,43019.83,38349.19,0,19.7,3.3,38,62,1029.7
17/03/2020,15.2,-1.4,43225.94,38680.93,0,10.5,6.7,41,66,1028.6
18/03/2020,17.6,1.9,43432.75,39368.14,0,10.1,10.2,8,66,1028.9
19/03/2020,18.6,6.6,43640.15,39629.49,0,10.8,11.5,19,67,1025.7
20/03/2020,19.1,6.4,43847.99,40018.32,0,11.2,12,18,63,1020.6
21/03/2020,14.8,4.3,44056.16,30701.07,1.5,25.7,8.6,83,71,1017
22/03/2020,6.9,-0.9,44264.53,34863.02,0,20.7,3.5,57,43,1025.9
23/03/2020,2.3,-2.9,44472.98,9513.22,3.1,32.5,0.3,84,60,1028.7
24/03/2020,7.9,-0.4,44681.37,39299.8,0.1,25.5,2.9,68,44,1029.2
25/03/2020,4.1,0.1,44889.59,6585.39,0.4,22,2,93,52,1029.5
26/03/2020,13,1.6,45097.51,38606.32,0,20.8,7.3,86,48,1024.2
27/03/2020,16.2,4,45305,41744.62,0,13.6,9.4,44,56,1020.5
28/03/2020,17.4,4,45511.91,41132.3,0.2,11.8,10.2,50,60,1014.4
29/03/2020,16.4,2.8,45718.14,42001.21,0,20.2,9.8,10,62,1011.4
30/03/2020,7.7,1.6,45923.55,16442.91,0.4,23.5,4.7,89,61,1019
31/03/2020,6.7,-1.7,46128,42167.78,0.1,9.2,2.6,36,53,1025.1
01/04/2020,8.2,-3.2,46331.35,42250.56,0,8.9,3,20,51,1022.5
02/04/2020,10.3,-1.9,46533.46,42375.95,0,12.4,4.4,1,50,1016.3
03/04/2020,14.5,-0.2,46734.42,42453.12,0,16.5,7.2,2,59,1014.1
04/04/2020,15.4,3,46935.63,42602.95,0,17.7,8.8,7,53,1022.4
05/04/2020,17.6,4.4,47137.29,42848.99,0,17.7,10.6,0,44,1028.1
06/04/2020,17.2,3.5,47339.25,42939.38,0,15.1,10.6,0,45,1031.7
07/04/2020,17.6,5.7,47541.42,43221.85,0,10.3,11.2,0,42,1033.8
08/04/2020,19.9,3.7,47743.66,43527.21,0,10.8,11.9,0,45,1029.2
09/04/2020,21.6,4.8,47945.84,43742.98,0,12.5,13.7,0,43,1021.9
10/04/2020,19.8,8.6,48147.84,43849.88,0,16.7,14.5,11,43,1021.1
11/04/2020,19.5,4.9,48349.54,43464.07,0,17,12.1,29,47,1023.2
12/04/2020,20.5,4.9,48550.79,44433.94,0,13.7,13.6,18,50,1020.7
13/04/2020,22.3,8.8,48751.46,37548.72,0.4,21.2,15.7,86,48,1010.9
14/04/2020,12.4,3.8,48951.41,27556.07,0.1,23.4,8.3,66,47,1016.3
15/04/2020,13.6,1.2,49150.52,45302.31,0,16.9,7.8,25,45,1024.1
16/04/2020,19.9,2.8,49348.63,45412.17,0,17.4,12,53,50,1019.8
17/04/2020,24.2,8.5,49545.59,43200,0,17.9,16.3,43,48,1013.8
18/04/2020,22,8.8,49741.26,44133.67,0.2,9.3,16.3,65,47,1014.7
19/04/2020,19.6,9.6,49935.47,34489.17,4.2,14.2,14.1,67,66,1014.6
20/04/2020,16.5,5.8,50128.09,45839.12,0,18.8,11.2,11,39,1020.5
21/04/2020,17.4,5.1,50318.93,45942.15,0,23.4,11.7,1,37,1020.7
22/04/2020,17.8,5.2,50507.84,46043.45,0,14.1,11.9,1,40,1022.3
23/04/2020,19.6,6.5,50694.86,46177.04,0,14.6,13.4,13,43,1020.6
24/04/2020,21.2,6.3,50881.36,43221.56,0,17,14.7,47,47,1012.5
25/04/2020,20.6,9.3,51067.52,45712.09,0,33.1,15.6,54,41,1005.6
26/04/2020,17.9,6.7,51253.18,46629.48,0,18.7,11.7,25,49,1011.4
